Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_HR080,ST15,ST15,CG14/15,-,1,Functional,Functional,Unknown,-,-,-
EuSCAPE_SK007,ST15,ST15,CG14/15,-,2,Non-functional,Non-functional,Sensitive,-,OmpK35-64%;OmpK36-8%,-
EuSCAPE_HR039,ST15,ST15,CG14/15,-,2,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR047,ST15,ST15,CG14/15,-,2,Functional,Non-functional,Unknown,-,OmpK36-34%,-
EuSCAPE_SK036,ST15,ST15,CG14/15,-,4,Non-functional,Non-functional,Sensitive,-,OmpK35-64%;OmpK36-8%,-
EuSCAPE_HR029,ST15,ST15,CG14/15,-,4,Non-functional,Non-functional,Unknown,-,OmpK35-42%;OmpK36-0%,-
EuSCAPE_TR253,ST15,ST15,CG14/15,-,8,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR209,ST15,ST15,CG14/15,-,16,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR252,ST15,ST15,CG14/15,-,16,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL034,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_SK005,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,-,-,-
EuSCAPE_PL041,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL042,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_DE086,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT023,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-59%,-
EuSCAPE_ME001,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ME007,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-87%,-
EuSCAPE_ME014,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-87%,-
EuSCAPE_ME015,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Unknown,-,OmpK35-87%,-
EuSCAPE_IT089,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT198,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT391,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT399,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_HU044,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HU050,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES273,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-64%,-
